sample_id
hFat-H-1
hFat-H-10
hFat-H-11
hFat-H-12
hFat-H-13
hFat-H-14
hFat-H-15
hFat-H-16
hFat-H-17
hFat-H-18
hFat-H-19
hFat-H-2
hFat-H-20
hFat-H-21
hFat-H-22
hFat-H-23
hFat-H-24
hFat-H-25
hFat-H-26
hFat-H-27
hFat-H-28
hFat-H-29
hFat-H-3
hFat-H-30
hFat-H-31
hFat-H-32
hFat-H-33
hFat-H-34
hFat-H-35
hFat-H-36
hFat-H-37
hFat-H-38
hFat-H-39
hFat-H-4
hFat-H-40
hFat-H-41
hFat-H-42
hFat-H-43
hFat-H-44
hFat-H-45
hFat-H-46
hFat-H-47
hFat-H-48
hFat-H-49
hFat-H-5
hFat-H-50
hFat-H-51
hFat-H-52
hFat-H-53
hFat-H-6
hFat-H-7
hFat-H-8
hFat-H-9
hFat-M-1
hFat-M-10
hFat-M-11
hFat-M-12
hFat-M-13
hFat-M-14
hFat-M-15
hFat-M-16
hFat-M-17
hFat-M-18
hFat-M-19
hFat-M-2
hFat-M-20
hFat-M-21
hFat-M-22
hFat-M-23
hFat-M-24
hFat-M-25
hFat-M-26
hFat-M-27
hFat-M-28
hFat-M-29
hFat-M-3
hFat-M-30
hFat-M-31
hFat-M-32
hFat-M-33
hFat-M-34
hFat-M-35
hFat-M-36
hFat-M-37
hFat-M-38
hFat-M-39
hFat-M-4
hFat-M-40
hFat-M-41
hFat-M-42
hFat-M-43
hFat-M-44
hFat-M-45
hFat-M-46
hFat-M-47
hFat-M-48
hFat-M-49
hFat-M-5
hFat-M-50
hFat-M-51
hFat-M-52
hFat-M-53
hFat-M-6
hFat-M-7
hFat-M-8
hFat-M-9
hMus-H-1
hMus-H-10
hMus-H-11
hMus-H-12
hMus-H-13
hMus-H-14
hMus-H-15
hMus-H-16
hMus-H-17
hMus-H-18
hMus-H-19
hMus-H-2
hMus-H-20
hMus-H-21
hMus-H-22
hMus-H-23
hMus-H-24
hMus-H-25
hMus-H-26
hMus-H-27
hMus-H-28
hMus-H-29
hMus-H-3
hMus-H-30
hMus-H-31
hMus-H-32
hMus-H-33
hMus-H-34
hMus-H-35
hMus-H-36
hMus-H-37
hMus-H-38
hMus-H-4
hMus-H-5
hMus-H-6
hMus-H-7
hMus-H-8
hMus-H-9
hMus-M-1
hMus-M-10
hMus-M-11
hMus-M-12
hMus-M-13
hMus-M-14
hMus-M-15
hMus-M-16
hMus-M-17
hMus-M-18
hMus-M-19
hMus-M-2
hMus-M-20
hMus-M-21
hMus-M-22
hMus-M-23
hMus-M-24
hMus-M-25
hMus-M-26
hMus-M-27
hMus-M-28
hMus-M-29
hMus-M-3
hMus-M-30
hMus-M-31
hMus-M-32
hMus-M-33
hMus-M-34
hMus-M-35
hMus-M-36
hMus-M-37
hMus-M-38
hMus-M-4
hMus-M-5
hMus-M-6
hMus-M-7
hMus-M-8
hMus-M-9
